Sample,Code,Latitude,Longitude,Date,Raw reads,Reads after length filter,Elasmobranch reads,% Elasmo reads per total reads,Elasmobranchs observed,Elasmobranch eDNA detected,,,,
Belize 1,BE1,16.742425, -87.826622,1/22/2015,29046,110,0,0.0000,,,,,,
Belize 2,BE2,16.739591,-87.825214,1/22/2015,27222,901,3,0.3330,,C. amblyrhynchos/limbatus_Caribbean,,,,
Belize 3,BE3,16.753905,-87.829629,1/21/2015,16207,2504,0,0.0000,,,,,,
Belize 4,BE4,16.734768,-87.821916,1/21/2015,90688,3645,0,0.0000,,,,,,
Belize 5,BE5,16.734019,-87.823741,1/23/2015,4609,15,0,0.0000,,,,,,
Belize 6,BE6,16.720795,-87.873390,1/20/2015,209,22,1,4.5455,,C. amblyrhynchos/limbatus_Caribbean,,,,
Belize 7,BE7,16.719798,-87.872900,1/24/2015,18341,572,0,0.0000,,,,,,
Belize 8,BE8,16.715376, -87.875989,1/20/2015,519772,137518,1,0.0007,C. perezii,C. perezii/falciformis_Caribbean,,,,
Jamaica 1,JA1,18.470843,-77.402583,1/30/2015,39763,6549,0,0.0000,,,,,,
Jamaica 2,JA2,18.471855,-77.401480,2/2/2015,271092,11878,2,0.0168,,D. americana,,,,
Jamaica 3,JA3,18.462589,-77.407249,1/30/2015,75,4,0,0.0000,,,,,,
Jamaica 4,JA4,18.463221,-77.405946,2/2/2015,32474,561,3,0.5348,,N. brevirostris/acutidens_Caribbean & D. americana,,,,
Jamaica 5,JA5,18.475094,-77.419606,1/30/2015,3851,622,0,0.0000,,,,,,
Jamaica 6,JA6,18.473628,-77.420228,2/2/2015,135780,2987,0,0.0000,,,,,,
Jamaica 7,JA7,18.509661,-77.918802,1/29/2015,527,6,2,33.3333,,,,,,
Jamaica 8,JA8,18.478746,-77.942029,1/28/2015,14643,51,1,1.9608,,C. amblyrhynchos/limbatus_Caribbean,,,,
Jamaica 9,JA9,18.485105,-77.937299,1/29/2015,73,9,0,0.0000,,N. brevirostris/acutidens_Caribbean,,,,
Jamaica 10,JA10,18.493893, -77.935327,1/28/2015,30530,2005,0,0.0000,,,,,,
Jamaica 11,JA11,18.490476,-77.935679,1/29/2015,10093,71,1,1.4085,,C. amblyrhynchos/limbatus_Caribbean,,,,
Turks&Caicos 1,TC1,21.489242,-71.544499,2/21/2015,8354,482,0,0.0000,,,,,,
Turks&Caicos 2,TC2,21.523266,-71.502067,2/24/2015,21106,369,1,0.2710,,C. amblyrhynchos/limbatus_Caribbean,,,,
Turks&Caicos 3,TC3,21.491370,-71.517633,2/19/2015,5064,16,1,6.2500,,N. brevirostris/acutidens_Caribbean,,,,
Turks&Caicos 4,TC4,21.491240,-71.517264,2/23/2015,5662,539,0,0.0000,,,,,,
Turks&Caicos 5,TC5,21.524710,-71.514431,2/19/2015,115,12,0,0.0000,,,,,,
Turks&Caicos 6,TC6,21.524191,-71.515107,2/23/2015,24675,2775,0,0.0000,,,,,,
Turks&Caicos 7,TC7,21.509974, -71.546088,2/21/2015,64602,2694,10,0.3712,,D. americana,,,,
Turks&Caicos 8,TC8,21.507338, -71.549741,2/27/2015,105180,393,112,28.4987,,C. amblyrhynchos/limbatus_Caribbean & N. brevirostris/acutidens_Caribbean & D. americana,,,,
Turks&Caicos 9,TC9,21.490505,-71.533662,2/21/2015,121,11,1,9.0909,,N. brevirostris/acutidens_Caribbean,,,,
Turks&Caicos 10,TC10,21.484253,-71.534393,2/20/2015,6167,614,1,0.1629,,C. amblyrhynchos/limbatus_Caribbean,,,,
Turks&Caicos 11,TC11,21.483943,-71.534468,2/23/2015,59114,1935,0,0.0000,,,,,,
Turks&Caicos 12,TC12,21.453852,-71.568077,2/24/2015,354,42,6,14.2857,,C. amblyrhynchos/limbatus_Caribbean & C. perezii/falciformis_Caribbean & N. brevirostris/acutidens_Caribbean,,,,
Turks&Caicos 13,TC13,21.454711,-71.569944,2/24/2015,76926,3851,8,0.2077,,C. amblyrhynchos/limbatus_Caribbean & C. obscurus/macloti/longimanus/galapagensis & N. brevirostris/acutidens_Caribbean &S.mokarran & D. americana,,,,
Turks&Caicos 14,TC14,21.454881,-71.572573,2/27/2015,81514,1596,0,0.0000,,,,,,
Turks&Caicos 15,TC15,21.448875,-71.567181,2/27/2015,102707,14445,4,0.0277,,C. amblyrhynchos/limbatus_Caribbean & D. americana,,,,
Turks&Caicos 16,TC16,21.484726,-71.520559,2/23/2015,131273,8674,0,0.0000,,,,,,
Turks&Caicos 17,TC17,21.483477,-71.519860,2/23/2015,4752,251,13,5.1793,,C. amblyrhynchos/limbatus_Caribbean & C. perezii/falciformis_Caribbean,,,,
Turks&Caicos 18,TC18,21.481869,-71.519097,2/24/2015,2385,194,4,2.0619,,N. brevirostris/acutidens_Caribbean,,,,
Turks&Caicos 19,TC19,21.484656,-71.521063,2/27/2015,183327,7253,6,0.0827,,C. amblyrhynchos/limbatus_Caribbean,,,,
Turks&Caicos 20,TC20,21.456078,-71.563766,2/20/2015,17331,2902,15,0.5169,,C. amblyrhynchos/limbatus_Caribbean & C. perezii/falciformis_Caribbean,,,,
Bahamas 1,BH1,25.747522,-79.249553,2/9/2015,16482,733,2,0.2729,,C. obscurus/macloti/longimanus/galapagensis & C. perezii/falciformis_Caribbean,,,,
Bahamas 2,BH2,25.726562,-79.295653,2/7/2015,259,2,0,0.0000,C. leucas,,,,,
Bahamas 3,BH3,25.726562,-79.295653,2/8/2015,1418,128,0,0.0000,C. leucas,,,,,
Bahamas 4,BH4,25.726562,-79.295653,2/10/2015,65090,7592,48,0.6322,C. leucas,C. leucas & C. perezii/falciformis_Caribbean & N. brevirostris/acutidens_Caribbean & S.mokarran,,,,
Bahamas 5,BH5,25.778076,-79.297283,2/9/2015,59751,1955,6,0.3069,,C. amblyrhynchos/limbatus_Caribbean & N. brevirostris/acutidens_Caribbean ,,,,
Bahamas 6,BH6,25.702672,-79.303250,2/8/2015,48415,3781,744,19.6773,S.mokarran & G. cirratum ,C. acronotus & N. brevirostris/acutidens_Caribbean & C. amblyrhynchos/limbatus_Caribbean & S.mokarran,,,,
Bahamas 7,BH7,25.702940, -79.303027,2/9/2015,18033,55,2,3.6364,S.mokarran & G. cirratum ,C. perezii/falciformis_Caribbean & S.mokarran,,,,
Bahamas 8,BH8,25.795269,-79.239509,2/9/2015,31744,560,4,0.7143,,N. brevirostris/acutidens_Caribbean & S.mokarran,,,,
Bahamas 9,BH9,25.797046,-79.248568,2/13/2015,18462,1675,2,0.1194,,C. perezii/falciformis_Caribbean & S.mokarran,,,,
Bahamas 10,BH10,25.748293,-79.262442,2/9/2015,3075,13,0,0.0000,,,,,,
Bahamas 11,BH11,25.677480,-79.284373,2/8/2015,3106,309,0,0.0000,,,,,,
Bahamas 12,BH12,25.651266,-79.293583,2/8/2015,17239,784,16,2.0408,,G. cuvier,,,,
Bahamas 13,BH13,25.651266,-79.293583,2/7/2015,1255,5,0,0.0000,,,,,,
Bahamas 14,BH14,25.64766,-79.312079,2/7/2015,10678,1842,553,30.0217,C. perezii  & C. acronotus,C. amblyrhynchos/limbatus_Caribbean & C. amblyrhynchos/limbatus/leiodon & C. leucas & C. perezii/falciformis_Caribbean & N. brevirostris/acutidens_Caribbean & Rhizoprionodon porosus/terraenovae,,,,
Bahamas 15,BH15,25.64766,-79.312079,2/7/2015,168701,3252,639,19.6494,C. perezii  & C. acronotus,C. acronotus & C. brachyurus/perezii & C. falciformis/acronotus & C. perezii/falciformis_Caribbean & N. brevirostris/acutidens_Caribbean & S.mokarran ,,,,
Noumea 1,NO1,-22.37062,166.26869,11/26/2015,613,147,36,24.4898,,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon,,,,
Noumea 2,NO2,-22.37538,166.27646,11/26/2015,344,136,3,2.2059,,C. melanopterus/cautus & N. brevirostris/acutidens_Pacific,,,,
Noumea 3,NO3,-22.38079,166.28214,11/26/2015,3320,125,5,4.0000,,C. leucas,,,,
Noumea 4,NO4,-22.36531,166.25642,11/26/2015,6649,2201,59,2.6806,,C. amblyrhynchos/limbatus_Pacific & C. perezii/falciformis_Pacific,,,,
Noumea 5,NO5,-22.34095,166.23013,10/29/2015,6127,2871,173,6.0258,,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon,,,,
Noumea 6,NO6,-22.32607,166.22008,10/29/2015,13966,6,0,0.0000,,,,,,
New Caledonia North 1,NN1,-18.48525,163.0780833,9/6/2015,8556,790,505,63.9241,,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon & C. falciformis & C. obscurus/macloti/longimanus/galapagensis,,,,
New Caledonia North 2,NN2,-18.45872,162.83798,9/7/2015,57480,2221,1449,65.2409,C. amblyrhynchos & C. albimarginatus,C. falciformis & Triaenodon obesus,,,,
New Caledonia North 3,NN3,-18.49235,163.09102,11/17/2015,54559,10,3,30.0000,,C. amblyrhynchos/limbatus_Pacific,,,,
New Caledonia North 4,NN4,-19.47228,163.21939,11/12/2015,15468,3055,428,14.0098,,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon & C. leucas & C. obscurus/macloti/longimanus/galapagensis & C. perezii/falciformis_Pacific & N. brevirostris/acutidens_Pacific & S.mokarran,,,,
New Caledonia North 5,NN5,-18.33913,162.9615,11/16/2015,2289,21,0,0.0000,C. amblyrhynchos & T. obesus,,,,,
New Caledonia North 6,NN6,-18.52115,162.87238,11/17/2015,5553,1101,2,0.1817,,C. amblyrhynchos/limbatus_Pacific,,,,
New Caledonia North 7,NN7,-19.35987,163.1638,11/11/2015,30418,3062,180,5.8785,,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon & C. melanopterus/cautus & N. brevirostris/acutidens_Pacific & S. fasciatum,,,,
New Caledonia North 8,NN8,-18.42886,162.99844,11/17/2015,7518,1141,408,35.7581,C. amblyrhynchos ,C. albimarginatus & C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon & N. brevirostris/acutidens_Pacific & Triaenodon obesus,,,,
New Caledonia North 9,NN9,-18.50674,163.21638,11/15/2015,935,196,196,100.0000,C. amblyrhynchos ,C. amblyrhynchos/limbatus_Pacific & C. plumbeus & C. plumbeus/altimus/sorrah,,,,
New Caledonia North 10,NN10,-18.29657,163.00105,11/15/2015,67,3,2,66.6667,C. amblyrhynchos ,C. amblyrhynchos/limbatus_Pacific,,,,
Chesterfield 1,NC1,-19.47889,158.25992,9/30/2015,4739,3987,3947,98.9967,C. amblyrhynchos ,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon & C. falciformis & C. obscurus/macloti/longimanus/galapagensis & Triaenodon obesus & Stegostoma fasciatum,,,,
Chesterfield 2,NC2,-19.21729,158.34457,9/30/2015,11239,1507,97,6.4366,C. amblyrhynchos ,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon & C. falciformis,,,,
Chesterfield 3,NC3,-19.06996,158.66454,9/4/2015,7006,5494,5205,94.7397,C. amblyrhynchos ,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon & C. melanopterus/cautus & C. obscurus/macloti/longimanus/galapagensis & C. perezii/falciformis_Pacific & C. plumbeus/altimus/sorrah & N. brevirostris/acutidens_Pacific,,,,
Chesterfield 4,NC4,-19.05768,158.98756,9/5/2015,43981,3055,89,2.9133,C. amblyrhynchos ,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon & C. falciformis,,,,
Chesterfield 5,NC5,-19.27486,158.97311,9/5/2015,22974,6062,4253,70.1584,C. amblyrhynchos & C. albimarginatus,C. amblyrhynchos/limbatus_Pacific & C. amblyrhynchos/limbatus/leiodon & C. brachyurus/perezii & C. falciformis & C. obscurus/macloti/longimanus/galapagensis,,,,
Chesterfield 6,NC6,-19.42649,158.92831,9/5/2015,59599,5297,2290,43.2320,C. amblyrhynchos ,C. amblyrhynchos/limbatus_Pacific & C. falciformis & C. falciformis/acronotus & C. plumbeus/altimus/sorrah & C. sorrah & T. obesus,,,,
TOTAL N READS,,,,,2972832,284252,21542,,,,,,,
Average % elasmobranch reads per sample,,,,,,,,12.1546,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
