Scientific name,Common name,Remark
Abramis brama,Carp bream,
Acipenser oxyrinchus,Atlantic sturgeon,"occurrence in the WS questionable (usually Baltic Sea)
"
Acipenser sturio,European Sturgeon,
Agonus cataphractus,Hooknose,
Alburnus alburnus,Bleak,
Alopias vulpinus ,Common tresher,"established species in the  North Sea according to the new German Red List of marine fishes (in prep.),
recorded in the Wadden Sea according to the QSR, "
Alosa alosa,Allis shad,
Alosa chrysochloris,Skipjack shad,"occurrence in the WS questionable, no established species in the North Sea according to the new German Red List of marine fishes (in prep.). 
Are there records from the Danish and Dutch Wadden Sea?  
"
Alosa fallax,Twaite shad,
Ammodytes marinus,Lesser sandeel,
Ammodytes tobianus,Small sandeel,
Anguilla anguilla,European Eel,
Aphia minuta,Transparent goby,
Arnoglossus laterna,Scaldfish,
Atherina boyeri,Big-scale sand smelt,"occurrence in the WS questionable, no established species in the  North Sea according to the new German Red List of marine fishes (in prep.). 
Are there records from the Danish and Dutch Wadden Sea?  
"
Atherina presbyter,Sand-smelt,
Barbus barbus,Barbel,"no established species according to the new German Red List of marine fishes (Freshwater List). 
Are there records from the Danish and Dutch Wadden Sea?  
"
Belone belone,Garfish,
Blicca bjoerkna,White bream,
Buglossidium luteum,Solenette,
Callionymus lyra,Dragonet,
Callionymus maculatus,Spotted dragonet,
Callionymus reticulatus,Reticulated dragonet,
Carassius carassius,Crucian carp,"no established species in the North Sea according to the new German Red List of marine fishes (Freshwater List). According to fishbase there are records from the Elbe estuary.
Are there records from the Dutch or Danish Wadden Sea?
"
Carassius gibelo,Gibel carp,"no established species in the North Sea according to the new German Red List of marine fishes (Freshwater List).
Are there records from the Dutch or Danish Wadden Sea?
"
Cetorhinus maximus ,basking shark,"established species in the  North Sea according to the new German Red List of marine fishes (in prep.),
recorded in the Wadden Sea according to the QSR, "
Chelidonichthys lucerna,Tub gurnard,
Chelidonichtys cuculus,Red gurnard,
Chelidonichtys lastoviza,0,"occurrence in the WS questionable, no established species in the North Sea according to the new German Red List of marine fishes (in prep.). 
Are there records from the Dutch or Danish Wadden Sea?
"
Chelon aurata,Golden grey mullet,Are there records from the Durch and Danish Wadden Sea ?
Chelon labrosus,Thick-lipped grey mullet,
Chelon ramada,Thin-lipped grey mullet,
Chirolophis ascanii,Yarrell's blenny,
Chondrostoma nasus,Common nase,"occurrence in the WS questionable, no established species in the North Sea according to the new German Red List of marine fishes (Freshwater List). Common in the Neckar
Are there records from the Dutch or Danish Wadden Sea?
"
Ciliata mustela,Five-bearded rockling,
Clupea harengus,Herring,
Conger conger,Conger eel,
Conodon nobilis,Barred grunt,"occurrence in the WS questionable, no established species in the North Sea according to the new German Red List of marine fishes (in prep.) 
Are there records from the Dutch or Danish Wadden Sea?
"
Coregonus albula,European cisco,"in the Wadden Sea ? no established species in the North Sea according to the new German Red List of marine fishes (in prep.). Frequently stocked in lakes and reservoirs in northern and central Germany.
Are there records from the Durch and Danish Wadden Sea ?"
Coregonus lavaretus ?,European whitefish,"no established species in the North Sea according to the new German Red List of marine fishes (in prep.); introduced species
Are there records from the Durch and Danish Wadden Sea ?"
Coregonus oxyrinchus,Houting,
Coregonus peled ?,0,"no established species in the North Sea according to the new German Red List of marine fishes. 
Are there records from the Dutch or Danish Wadden Sea ? 
"
Cottus perifretum,0,"only known as invasive species in the Rhine
Are there records from the Durch and Danish Wadden Sea ?"
Ctenolabrus rupestris,Goldsinny,
Cyclopterus lumpus,Lumpsucker,
Cyprinus carpio,Carp,
Dasyatis pastinaca ,Stingray,vulnerable
Dicentrarchus labrax,Sea bass,
Dipturus batis,Common skate,"established species in the  North Sea according to the new German Red List of marine fishes (in prep.),
recorded in the Wadden Sea according to the QSR, "
Echiichthys vipera,Lesser weever,
Enchelyopus cimbrius,Four-bearded rockling,
Engraulis encrasicolus,Anchovy,
Entelurus aequoreus,Snake pipefish,
Esox lucius,Pike,
Eutrigla gurnardus,Grey gurnard,
Gadus morhua,Cod,
Gaidropsarus vulgaris,Three-bearded rockling,
Galeorhinus galeus,Topeshark,
Gasterosteus aculeatus,Three-spined stickleback,
Gobiosoma bosc,Naked goby,invasive species
Gobius niger,Black goby,
Gymnocephalus cernua,Ruffe,
Helicolenus dactylopterus,Bluemouth redfish,
Hippocampus hippocampus,Short-snouted Seahorse,
Hippoglossoides platessoides,American plaice,
Hyperoplus immaculatus,Greater sandeel,
Hyperoplus lanceolatus,Great sandeel,
Labrus bergylta,,
Labrus bimaculatus,Deep Snouted pipefish,"no established species in the North Sea according to the new German Red List of marine fishes.
Are there records from the Dutch or Danish Wadden Sea?
"
Lamna nasus,Porbeagle,SHIRE Report
Lampetra fluviatilis,River lamprey,
Leucaspius delineatus,Sunbleak,"no established species in the North Sea according to the new German Red List of marine fishes (Freshwater List), no records in Schelswig-Holstein
Are there records from the Dutch or Danish Wadden Sea?
"
Leuciscus aspius,Asp,
Leuciscus aspius (Synonym: Aspius aspius) ,Asp,
Leuciscus idus,Ide,
Leuciscus leuciscus,Common dace,"no established species in the North Sea according to the new German Red List of marine fishes (Freshwater List)
Are there records from the Dutch or Danish Wadden Sea?
"
Limanda limanda,Dab,
Liparis liparis,Sea-snail,
Liparis montagui,Montagu's Sea-snail,
Lipophrys pholis,shanny,Occurrence possible (SHIRE Report)
Lophius piscatorius,Angler,"occurrence in the WS questionable, deep water species "
Lota lota,Burbot,
Lumpenus lampretaeformis,Snakeblenny,"occurrence in the WS questionable, The deep range of this species is usually 40 - 100 m
Are there records from the Dutch or Danish Wadden Sea?"
Lycodes vahlii,Vahl's eelpout ,"occurrence in the WS questionable, bathydemersal"
Maurolicus muelleri,Pearlsides,"occurrence in the WS questionable, bathypelagic; depth range 271 - 1524 m"
Melanogrammus aeglefinus,Haddock,"occurrence in the WS questionable, offshore species"
Merlangius merlangus,Whiting,
Merluccius merluccius,European hake,
Micromesistius poutassou,Blue Whiting,"occurrence in the WS questionable, bathypelagic; oceanodromous, depth range 150 - 3000 m
Are there records from the Dutch or Danish Wadden Sea?"
Micropogonias undulates,Atlantic croaker,"Subtropical; 43°N - 37°S, no established species in the  North Sea according to the new German Red List of marine fishes (in prep.). Are there records from the Danish and Dutch Wadden Sea?  
"
Microstomus kitt,Lemon sole,
Misgurnus fossilis,Weatherfish,
Molva molva,Ling,"occurrence in the WS questionable, oceanodromous; depth range 100 - 1000 m
Are there records from the Danish and Dutch Wadden Sea?  
"
Mullus surmelutus,Surmullet,
Mustelus asterias,Starry smooth-hound,
