Family,Species Name,1,2,3,4,5,6,7,8,9,10,11,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12
,Hemanthias peruanus,,,,,,x,,,,x,,,,,,x,x,,x,x,x,x,x
,Paralabrax loro,,,,,,,,,,,,,,,,x,,,,,,,
,Pronotogrammus eos,,,,x,x,x,,,,x,,x,x,,x,,,,,,,,
,Serranus aequidens,,,,,,x,,,,,,,,,,,,,,,,,
,Serranus psittacinus,x,,,,,,x,,,,,,,,,,,,,,,,
Carangidae,Gnathanodon speciosus,,,,,,,,,,,,,,,,,,,,,x,,
,Selene peruviana,,,,,,,,,,,,,,,x,,,,,,,,
Labridae,Decodon melasma,,,,x,,,,,x,x,,,,,,,,,,,,,
Chaetodontidae,Chaetodon humeralis,,,,,,,,,,,x,,,,,,,,,,,,
Callionymidae,Synchiropus atrilabiatus,,,,x,,x,x,,,x,,x,,,,,,,,,,,
Gobiidae,Bollmannia chlamydes,,,,,,,,,,,,x,,,,x,x,x,x,x,x,,x
,Bollmannia species A,,,,,,x,,,,,,,,,,,,,,,,,
Stromateidae,Peprilus medius,,,,,,,,,,,,,,,,,x,,,,,,
Trichiuridae,Trichiurus lepturus,,,,,,,,,,,,,,,,,x,,,,,,
Paralichthyidae,Citharichthys gilberti,,,,x,,,,,,,,,,,,,,,,,,,
,Citharichthys platophrys,,,,,x,x,,,,,,x,x,,x,x,x,x,x,x,,x,x
,Cyclopsetta querna,,,,,,x,,,,,,,,,,x,,,,,,,
,Etropus ectenes,x?,,,,,,,,,,,,,,,,,,,,,,
,Etropus peruvianus,,,,,,,,,,x,,,,,,,,,,,,,
,Hippoglossina macrops,,,,x,,,,,,,,,,,,,,,,,,,
,Hippoglossina tetrophthalmus,,,,,,,,,,x,,,,,x,,x,,x,x,,,
,Syacium latifrons,,,,,,,x,x,x,,,,x,,,x,,x,,,,,
,Syacium ovale,x,x,,x,,,,x,,,,,,,,,,,,,,,
Bothidae,Bothus leopardinus,x,x,,,,,,x,,,,,,,,,,,,,,,
,Engyophrys sanctilaurenti,,x,,x,x,,,x,x,x,x,x,x,,x,x,,x,x,x,x,x,x
,Monolene dubiosa,,,,,x,,,,,,,,,,,,,,,,,,
,Monolene maculipinna,,,,,,x,,,,,,,,,,,,,,,,,
,Perissias taeniopterus,,,,x,,,,,,x,,,,,,,,,,,,,
Cynoglossidae,Symphurus callopterus,,,,,,x,x,,x,,,x,x,,x,x,x,x,x,x,x,x,x
,Symphurus gorgonae,,,,,x,x,,,,,,,,,,,,,,,,,
,Symphurus leei,,,,,,,,,,,,,,,,,,,,,,,x
,Symphurus oligomerus,,x,,x,x,x,x,x,x,x,x,x,,,,x,,,,x,x,,x
Balistidae,Sufflamen verres,,,,,,,,,,,x,,,,,,,,,,,,
Tetraodontidae,Sphoeroides lobatus,x,x,x,,,,,x,x,x,,,,,,x,,,,,,,
