0,1,2,3,4,5
"Alopias vulpinus (Bonnaterre, 1788)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
"Ammodytes tobianus Linnaeus, 1758",,,,,
"Gymnammodytes cicerelus (Rafinesque,",,1810),,,
"Anguilla anguilla (Linnaeus, 1758)",,,,,
"Apogon imberbis (Linnaeus, 1758)",,,,,
"Argentina sphyraena Linnaeus, 1758",,,,,
"Atherina boyeri Risso, 1810",,,,,
"Atherina hepsetus Linnaeus, 1758",,,,,
"Balistes carolinensis Gmelin, 1788",,,,,
"Halobatrachus didactylus (Bloch & Schneider,",,,1801),,
"Belone belone (Linnaeus, 1761)",,,,,
"Aidablennius sphynx (Valenciennes,",1836),,,,
"Blennius ocellaris Linnaeus, 1758",,,,,
"Coryphoblennius galerita (Linnaeus,",1758),,,,
"Hypleurochilus bananensis (Poll, 1859)",,,,,
"Lipophrys adriaticus (Steindachner & Kolombatovic,",,,,,1883)
"Lipophrys canevai (Vinciguerra, 1880)",,,,,
"Lipophrys dalmatinus (Steindachner & Kolombatovic,",,,,,1883)
"Lipophrys nigriceps (Vinciguerra, 1883)",,,,,
"Lipophrys pholis (Linnaeus, 1758)",,,,,
"Parablennius gattorugine (Linnaeus,",1758),,,,
"Parablennius incognitus (Bath, 1968)",,,,,
"Parablennius pilicornis (Cuvier, 1829)",,,,,
"Parablennius rouxi (Cocco, 1833)",,,,,
"Parablennius sanguinolentus (Pallas,",1814),,,,
"Parablennius tentacularis (Briinnich,",1768),,,,
"Parablennius zvonimiri (Kolombatovic,",,1892),,,
"Paralipophrys trigloides (Valenciennes,",,1836),,,
"Salaria basilisca (Valenciennes, 1836)",,,,,
"Salaria pavo (Risso, 1810)",,,,,
"Scartella cristata (Linnaeus, 1758)",,,,,
"Arnoglossus imperialis (Rafinesque,",1810),,,,
"Arnoglossus laterna (Walbaum, 1792)",,,,,
"Arnoglossus rueppelii (Cocco, 1844)",,,,,
"Arnoglossus thori Kyle, 1913",,,,,
"Bothus podas (Delaroche, 1809)",,,,,
"Brama brama_ Bonnaterre, 1788",,,,,
"Grammonus ater (Risso, 1810)",,,,,
"Callionymus fasciatus Valenciennes,",1837,,,,
"Callionymus lyra_ Linnaeus, 1758",,,,,
"Callionymus maculatus Rafinesque,",1810,,,,
"Callionymus pusillus Delaroche, 1809",,,,,
"Callionymus risso Le Sueur, 1814",,,,,
"Capros aper (Linnaeus, 1758)",,,,,
"Campogramma glaycos (Lacépéde, 1801)",,,,,
"Caranx crysos (Mitchill, 1815)",,,,,
"Caranx hippos (Linnaeus, 1758)",,,,,
"Lichia amia (Linnaeus, 1758)",,,,,
"Naucrates ductor (Linnaeus, 1758)",,,,,
"Pseudocaranx dentex (Bloch & Schneider,",,1801),,,
"Seriola dumerili (Risso, 1810)",,,,,
"Seriola fasciata (Bloch, 1793)",,,,,
"Trachinotus ovatus (Linnaeus, 1758)",,,,,
"Trachurus mediterraneus (Steindachner,",,1868),,,
"Trachurus picturatus (Bowdich, 1825)",,,,,
"Trachurus trachurus (Linnaeus, 1758)",,,,,
"Carapus acus (Briinnich, 1768)",,,,,
"Carcharhinus plumbeus (Nardo, 1827)",,,,,
"Prionace glauca (Linnaeus, 1758)",,,,,
"Spicara maena (Linnaeus, 1758)",Unnamed: 1,Unnamed: 2,Unnamed: 3,,
"Spicara smaris (Linnaeus, 1758)",,,,,
"Centrolophus niger (Gmelin, 1789)",,,,,
"Hyperoglyphe perciformis (Mitchill,",,1818),,,
"Schedophilus medusophagus Cocco,",,1839,,,
"Schedophilus ovalis (Cuvier, 1833)",,,,,
"Centrophorus granulosus (Bloch & Schneider,",,,1801),,
"Cetorhinus maximus Gunnerus, 1765",,,,,
"Citharus linguatula (Linnaeus, 1758)",,,,,
"Clinitrachus argentatus Risso, 1810",,,,,
"Alosa alosa (Linnaeus, 1758)",,,,,
"Alosa fallax (Lacépéde, 1803)",,,,,
"Sardina pilchardus (Walbaum, 1792)",,,,,
"Sardinella aurita Valenciennes, 1847",,,,,
"Sprattus sprattus (Linnaeus, 1758)",,,,,
"Ariosoma balearicum (Delaroche, 1809)",,,,,
