Sample location,Aetomylaeus bovinus,Alopias vulpinus,Carcharhinus obscurus,Dasyatis pastinaca,Dasyatis marmorata,Fontitrygon margarita/marga ritella,Ginglymostoma cirratum
Ile des Pelicans,0,0,59,0,1,15,0
Akadir,1,1,1,0,3,22,0
West Tidra 1,31,0,240,23,100,668,0
West Tidra 2,388,0,3,1,75,4,176
Kiji,55,0,1,0,0,7,1
Idis,0,0,0,3,0,1,0
Mouzan,2673,0,0,0,3,252,0
Nair,1,0,565,0,1,352,0
Belkeiznaya,0,0,1,1,0,3,0
Iwik,3,0,1,0,1115,26,1
Mamghar,0,1,1,0,0,3,1
Baye St jean,18,0,0,1,0,35,3
L’oeil,7,0,1,0,2,9,0
TOTAL,3177,2,873,29,1300,1397,182
