year	transect	lat_inner	lon_inner	lat_outer	lon_outer	day	month	season	time_start	time_end	species_code	species	count
1980	1	7.81483	-81.75886	7.81490	-81.75907	13	1	DRY	1607	1613	ACA_XAN	Acanthurus_xanthopterus	4
1980	1	7.81483	-81.75886	7.81490	-81.75907	13	1	DRY	1607	1613	SUF_VER	Sufflamen_verres	8
1980	1	7.81483	-81.75886	7.81490	-81.75907	13	1	DRY	1607	1613	HOL_PAS	Holacanthus_passer	4
1980	1	7.81483	-81.75886	7.81490	-81.75907	13	1	DRY	1607	1613	SCA_PER	Scarus_perrico	1
1980	1	7.81483	-81.75886	7.81490	-81.75907	13	1	DRY	1607	1613	SCA_GHO	Scarus_ghobban	1
1980	2	7.81471	-81.75889	7.81478	-81.75910	13	1	DRY	1643	1649	BOD_DIP	Bodianus_diplotaenia	2
1980	2	7.81471	-81.75889	7.81478	-81.75910	13	1	DRY	1643	1649	HOL_PAS	Holacanthus_passer	7
1980	2	7.81471	-81.75889	7.81478	-81.75910	13	1	DRY	1643	1649	ACA_XAN	Acanthurus_xanthopterus	2
1980	2	7.81471	-81.75889	7.81478	-81.75910	13	1	DRY	1643	1649	SCA_RUB	Scarus_rubroviolaceus	4
1980	2	7.81471	-81.75889	7.81478	-81.75910	13	1	DRY	1643	1649	SCA_PER	Scarus_perrico	2
1980	2	7.81471	-81.75889	7.81478	-81.75910	13	1	DRY	1643	1649	SCA_GHO	Scarus_ghobban	4
1980	2	7.81471	-81.75889	7.81478	-81.75910	13	1	DRY	1643	1649	SUF_VER	Sufflamen_verres	9
1980	2	7.81471	-81.75889	7.81478	-81.75910	13	1	DRY	1643	1649	ARO_MEL	Arothron_meleagris_	18
1980	3	7.81461	-81.75894	7.81467	-81.75916	14	1	DRY	1320	1326	BOD_DIP	Bodianus_diplotaenia	1
1980	3	7.81461	-81.75894	7.81467	-81.75916	14	1	DRY	1320	1326	HOL_PAS	Holacanthus_passer	8
1980	3	7.81461	-81.75894	7.81467	-81.75916	14	1	DRY	1320	1326	SUF_VER	Sufflamen_verres	11
1980	3	7.81461	-81.75894	7.81467	-81.75916	14	1	DRY	1320	1326	ARO_MEL	Arothron_meleagris_	2
1980	3	7.81461	-81.75894	7.81467	-81.75916	14	1	DRY	1320	1326	ACA_XAN	Acanthurus_xanthopterus	1
1980	3	7.81461	-81.75894	7.81467	-81.75916	14	1	DRY	1320	1326	SCA_RUB	Scarus_rubroviolaceus	3
1980	3	7.81461	-81.75894	7.81467	-81.75916	14	1	DRY	1320	1326	SCA_PER	Scarus_perrico	1
1981	1	7.81483	-81.75886	7.81490	-81.75907	16	8	WET	1105	1115	THA_GRA	Thalassoma_grammaticum	1
1981	1	7.81483	-81.75886	7.81490	-81.75907	16	8	WET	1105	1115	ARO_MEL	Arothron_meleagris_	4
1981	1	7.81483	-81.75886	7.81490	-81.75907	16	8	WET	1105	1115	HOL_PAS	Holacanthus_passer	4
1981	1	7.81483	-81.75886	7.81490	-81.75907	16	8	WET	1105	1115	SCA_RUB	Scarus_rubroviolaceus	1
1981	1	7.81483	-81.75886	7.81490	-81.75907	16	8	WET	1105	1115	SUF_VER	Sufflamen_verres	2
1981	1	7.81483	-81.75886	7.81490	-81.75907	16	8	WET	1105	1115	DIO_HOL	Diodon_holocanthus	1
1981	1	7.81483	-81.75886	7.81490	-81.75907	16	8	WET	1105	1115	CTE_MAR	Ctenochaetus_marginatus	1
1981	1	7.81483	-81.75886	7.81490	-81.75907	16	8	WET	1105	1115	SER_RIV	Seriola_rivoliana	1
1981	1	7.81483	-81.75886	7.81490	-81.75907	22	9	WET	1610	1618	CTE_MAR	Ctenochaetus_marginatus	7
1981	1	7.81483	-81.75886	7.81490	-81.75907	22	9	WET	1610	1618	DIO_HOL	Diodon_holocanthus	1
1981	1	7.81483	-81.75886	7.81490	-81.75907	22	9	WET	1610	1618	SUF_VER	Sufflamen_verres	5
1981	1	7.81483	-81.75886	7.81490	-81.75907	22	9	WET	1610	1618	ARO_MEL	Arothron_meleagris_	3
1981	1	7.81483	-81.75886	7.81490	-81.75907	22	9	WET	1610	1618	HOL_PAS	Holacanthus_passer	8
1981	1	7.81483	-81.75886	7.81490	-81.75907	22	9	WET	1610	1618	THA_GRA	Thalassoma_grammaticum	5
1981	1	7.81483	-81.75886	7.81490	-81.75907	22	9	WET	1610	1618	SCA_GHO	Scarus_ghobban	3
1981	1	7.81483	-81.75886	7.81490	-81.75907	22	9	WET	1610	1618	NOV_TAE	Novaculichthys_taeniourus	2
1981	1	7.81483	-81.75886	7.81490	-81.75907	22	9	WET	1610	1618	CTE_MAR	Ctenochaetus_marginatus	1
1981	1	7.81483	-81.75886	7.81490	-81.75907	13	11	WET	1345	1415	HOL_PAS	Holacanthus_passer	10
1981	1	7.81483	-81.75886	7.81490	-81.75907	13	11	WET	1345	1415	SUF_VER	Sufflamen_verres	3
1981	1	7.81483	-81.75886	7.81490	-81.75907	13	11	WET	1345	1415	ARO_MEL	Arothron_meleagris_	1
1981	1	7.81483	-81.75886	7.81490	-81.75907	13	11	WET	1345	1415	EPI_PAN	Epinephelus_panamensis	1
1981	2	7.81471	-81.75889	7.81478	-81.75910	16	8	WET	1118	1127	SUF_VER	Sufflamen_verres	4
1981	2	7.81471	-81.75889	7.81478	-81.75910	16	8	WET	1118	1127	ARO_MEL	Arothron_meleagris_	3
1981	2	7.81471	-81.75889	7.81478	-81.75910	16	8	WET	1118	1127	JOH_NIG	Johnrandallia_nigrirostris	2
1981	2	7.81471	-81.75889	7.81478	-81.75910	16	8	WET	1118	1127	SCA_RUB	Scarus_rubroviolaceus	2
1981	2	7.81471	-81.75889	7.81478	-81.75910	16	8	WET	1118	1127	SER_RIV	Seriola_rivoliana	1
